CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,CodigoInvente,EjerceControl,DenominacionSocial,FechaAlta,Adscripcion_Codigo,Adscripcion_Descripcion,Observaciones,CodigoOrigen,CodigoDIR3,CausaDeAlta_Codigo,CausaDeAlta_Descripcion,FormaJuridica_Codigo,FormaJuridica_Descripcion,RegimenContable_Codigo,RegimenContable_Descripcion,RegimenControl_Codigo,RegimenControl_Descripcion,RegimenPresupuestario_Codigo,RegimenPresupuestario_Descripcion,ClasificacionCN_Codigo,ClasificacionCN_Descripcion,CondicionMedioPropio,ClasificacionEntidad,Direccion,Localidad,Provincia_Codigo,Provincia_Descripcion,CodigoPostal,Telefono,SitioWeb,eMail,Denominacion,Codigo,PorcentajeParticipacion,PorcentajeVoto,Actividad_Situacion_Codigo,Actividad_Situacion_Descripcion,Actividad_Sector_Codigo,Actividad_Sector_Descripcion,ObjetoSocial,Codigo,Denominacion,Venta_Bienes_DentroSP_Administracion,Venta_Bienes_Dentro_SP_Otras,Venta_Bienes_DentroSP_EntidadesSPI,Venta_Bienes_SectorPrivado,Transf_Subvenciones_Administracion,Transf_Subvenciones_Otras,Transf_Subvenciones_SPI,Transf_Subvenciones_UnionEuropea,Otros_Ingresos,Denominacion,FuenteAlta,InformacionFuenteAlta,AltaDesde,FechaVersion,Disponible,FechaBaja,???
INV00000002,"1908 Puerto de Motril, A.I.E.",12,Sociedad mercantil ,V18862987,,0100000XP172,INV00000002,Administración Central,"1908 Puerto de Motril, A.I.E.",2008-05-16T00:00:00,0,Varias administraciones públicas,soporte documental ESCRITURA nº 280 de 27 de febrero de 2008 (RM 16/05/2008),,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,5,S.11001 Sociedades no financieras Públicas: Administración Central,,,"Recinto Portuario  El Varadero, s/n                                                                             ",Motril                                                                                                                                                                                                                                                    ,18,Granada,18613,958601207,https://www.apmotril.com/motrilport                                                                                                                                                                                                                       ,jmartin@motrilport.com                                                                                                                                                                                                                                    ,"Empresa Provincial de Vivienda, Suelo y Equipamiento de Granada, S.A.",INV00005446,"29,41","29,41",1,Con actividad económica,2,Empresarial,"Gestión y promoción de los intereses comunes de los sectores logístico-portuario y turístico-marítimo  del Puerto  de Motril, para integrar las sinergias cómo clave de éxito, coordinar la prestación de servicios para mejorar los resultados de los socios.",N8299,Otras actividades de apoyo a las empresas n.c.o.p.,Principal,Secundaria,,Secundaria,,,,,,1908 Puerto de Motril AIE,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000004,"A.I. Abra Industrial, S.A. Sociedad Mercantil Estatal",12,Sociedad mercantil ,A48021349,EA0023191,1097NF,INV00000004,Administración Central,"A.I. Abra Industrial, S.A. Sociedad Mercantil Estatal",1998-07-21T00:00:00,31,Ministerio de Hacienda y Función Pública,"La Sociedad tiene su origen en la constitución con fecha 30 de enero de 1954, de la sociedad española de Minas de Somorrostro, S.A., procediendo al cambio de denominación social, con fecha 26 de febrero de 1996, a A.I. Abra Industrial, S.A. 
Con fecha 16 de enero de 2017, se inscribe en el Registro la modificación de la denominación social según lo dispuesto en el artículo 111.2 de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, incluyendo en su denominación “Sociedad Mercantil Estatal”.
La actividad principal de la Sociedad se enmarca en el proyecto de promover el desarrollo de actuaciones industriales, tecnológicas y de servicios en los terrenos situados en la zona minera de Bodavalle, recuperando los espacios naturales deteriorados por la acción minera ejercida sobre ellos en años anteriores. En la actualidad no existe la actividad minera, actividad principal por la cual se constituyó la sociedad.
La Sociedad forma parte, en los términos previstos del artículo 42 del Código de Comercio, del Grupo SEPIDES, que esta contralado por la sociedad dominante SEPI Desarrollo Empresarial, S.A., S.M.E. e integrado en el Grupo SEPI.",NF1097,EA0023191,2,Incorporación al SPI. Incremento o toma de participación pública mayoritaria,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,5,S.11001 Sociedades no financieras Públicas: Administración Central,No,Grupo 3,"Bº de Loredo, s/n                                                                             ",Abanto y Ciervana                                                                                                                                                                                                                                         ,48,Bizkaia,48509,944-15.40.40   913961589 ,www.sepides.es                                                                                                                                                                                                                                     ,marivis@sepides.es;marisac@sepides.es                                                                                                                                                                                                                     ,"SEPI Desarrollo Empresarial, S.A., S.M.E.",INV00004987,100,100,1,Con actividad económica,2,Empresarial,"- La promoción, construcción, gestión, explotación y comercialización de terrenos de su propiedad para la ubicación en los mismos de proyectos industriales, comerciales o de servicios, así como la adquisición de otros terrenos, sean o no complementarios de aquellos, incluidas idénticas actividades sobre edificios e inmuebles de cualquier naturaleza.
- La urbanización, acondicionamiento, planeamiento, parcelación y reparcelación de terrenos, así como la gestión y la realización de obras y actuaciones precisas para ello.
- La adquisición, explotación y comercialización de concesiones mineras y productos derivados de las minas.",F411,Promoción inmobiliaria,,,,Principal,,,,,Secundaria,"Española de Minas de Somorrostro, S.A. ",Memoria,Constitución,30/01/1954,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000006,"AAA Dominicana, S.A.",12,Sociedad mercantil ,,,1200000BP058,INV00000006,Comunidad Autónoma de Madrid,"AAA Dominicana, S.A.",2000-02-14T00:00:00,12,Comunidad de Madrid,soporte documental OTROS Certificado Acta Asamblea Constitutiva 14/02/2000,1200000BP058,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,11,S.2 Resto del Mundo: Unidad no residente,,,"Roberto Pastoriza, Ensanche Naco, Distrito Nacional, 317                                                                             ",Santo Domingo de Guzmán (República Dominicana)                                                                                                                                                                                                            ,99,En el exterior,     ,94760420,www.aaa.com.do/                                                                                                                                                                                                                                    ,rzorrilla@aaa.com.do                                                                                                                                                                                                                                      ,"Sociedad Interamericana de Aguas y Servicios, S.A.",INV00005126,65,65,1,Con actividad económica,2,Empresarial,Gestión ciclo integral del agua,E3600,"Captación, depuración y distribución de agua",,,,,,,,,,"AAA Dominicana, S.A.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000007,"AAA Venezuela, S.A. ",12,Sociedad mercantil ,,,1200000BP064,INV00000007,Comunidad Autónoma de Madrid,"AAA Venezuela, S.A. ",2000-12-12T00:00:00,12,Comunidad de Madrid,soporte documental ESCRITURA de constitución nº 1145 de 23/11/2000,1200000BP064,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,11,S.2 Resto del Mundo: Unidad no residente,,,", s/n",Caracas (Venezuela)                                                                                                                                                                                                                                       ,99,En el exterior,     ,                         ,                                                                                                                                                                                                                                                          ,algn67@yahoo.com                                                                                                                                                                                                                                          ,"Sociedad Interamericana de Aguas y Servicios, S.A.",INV00005126,100,100,1,Con actividad económica,2,Empresarial,,E36,"Captación, depuración y distribución de agua",,,,,,,,,,"AAA Venezuela, S.A.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000008,"AAA. Ecuador Agacase, S.A.",12,Sociedad mercantil ,,,1200000BP059,INV00000008,Comunidad Autónoma de Madrid,"AAA. Ecuador Agacase, S.A.",2001-10-12T00:00:00,12,Comunidad de Madrid,soporte documental ESCRITURA de 27/09/2001 (según la escritura de 07/08/2002),1200000BP059,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,11,S.2 Resto del Mundo: Unidad no residente,,,"Vía Samborondon, Km. 10                                                                          ",Samborondon Guayas (Ecuador)                                                                                                                                                                                                                              ,99,En el exterior,     ,345125593,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,"Canal Extensia, S.A.U.",INV00001001,1,1,1,Con actividad económica,2,Empresarial,Gestión de recursos públicos.,E3600,"Captación, depuración y distribución de agua",,,,,,,,,,"AAA. Ecuador Agacase, S.A.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000009,Aban Campo S.A.,12,Sociedad mercantil ,A22240956,,0222074AP002,INV00000009,Ayuntamiento de Campo,Aban Campo S.A.,2000-09-01T00:00:00,0222074AA000,Ayuntamiento de Campo,soporte documental ESCRITURA 01.09.2000,0222074AP002,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,3,S.1313 Administraciones Públicas: Administración Local,,,"Plaza Cabo Vila, 1                                                                               ",CAMPO                                                                                                                                                                                                                                                     ,22,Huesca,22450,974550000,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Ayuntamiento de Campo,0222074AA000,100,0,1,Con actividad económica,2,Empresarial,,Q8731,Asistencia en establecimientos residenciales para personas mayores,,,,Principal,,,,,,Aban Campo S.A.,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000010,"Abanto-Zierbena Zerbitzuak, S.L.",12,Sociedad mercantil ,B95534947,,1548002AP001,INV00000010,Ayuntamiento de Abanto y Ciérvana/Abanto-Zierbena,"Abanto-Zierbena Zerbitzuak, S.L.",2008-04-11T00:00:00,1548002AA000,Ayuntamiento de Abanto y Ciérvana/Abanto-Zierbena,soporte documental ESCRITURA 11.04.2008,1548002AP001,,2,Incorporación al SPI,12,Sociedad mercantil ,0,,3,Auditoría de cuentas,2,Estimativo,3,S.1313 Administraciones Públicas: Administración Local,,,"Avda. El Minero, 5                                                                               ",Abanto-Zierbena                                                                                                                                                                                                                                           ,48,Bizkaia,48600,944040600,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Ayuntamiento de Abanto y Ciérvana/Abanto-Zierbena,1548002AA000,100,0,1,Con actividad económica,2,Empresarial,,O8411,Actividades generales de la Administración Pública,,,,,,,,,,"Abanto-Zierbena Zerbitzuak, S.L.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000011,Aberekin S.A.,12,Sociedad mercantil ,A48165468,A16023869,5000000XP005,INV00000011,Comunidad Autónoma de Cantabria,Aberekin S.A.,1985-03-06T00:00:00,0,Varias administraciones públicas,soporte documental ESCRITURA de const. de 31/01/1985 (RM 06/03/1985),,A16023869,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,0,,2,Estimativo,6,S.11001 Sociedades no financieras Públicas: Administración Regional,,,"Parque Tecnológico, Edificio 600                                                                    ",Derio                                                                                                                                                                                                                                                     ,48,Bizkaia,48160,944540878,www.aberekin.com                                                                                                                                                                                                                                          ,comercial@aberekin.com                                                                                                                                                                                                                                    ,Comunidad Autónoma de Cantabria,0600000BB000,"22,25","22,25",1,Con actividad económica,2,Empresarial,Desarrollo y aplicación de técnicas de selección y reproducción animal,A014,Producción ganadera,,,,,,,,,,Actividades de apoyo a la ganadería,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000012,Academia Europea e Iberoamericana de Yuste,6,Fundación ,G80325780,,1000000HH004,INV00000012,Comunidad Autónoma de Extremadura,Academia Europea e Iberoamericana de Yuste,1992-11-11T00:00:00,10,Extremadura,"soporte documental ESCRITURA de constit. nº 1063, 09/04/1992 (ORDEN 11/11/92)",1000000HH004,,2,Incorporación al SPI,6,Fundación ,2,Privado,3,Auditoría de cuentas,2,Estimativo,2,S.1312 Administraciones Públicas: Administración Regional,,,"C/ Real Monasterio de Yuste, s/n",Cuacos de Yuste                                                                                                                                                                                                                                           ,10,Cáceres,10430,927172004,www.fundacionyuste.org                                                                                                                                                                                                                                    ,info@fundacionyuste.org                                                                                                                                                                                                                                   ,Comunidad Autónoma de Extremadura,1000000BB000,0,"56,77",1,Con actividad económica,3,Fundacional,"Contribuir al impulso y consolidación de los vínculos entre Extremadura, Europa e Iberoamérica",G4762,Comercio al por menor de periódicos y artículos de papelería en establecimientos especializados,,,,,Secundaria,Secundaria,,Secundaria,Principal,Academia Europea e Iberoamericana de Yuste,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000013,Academia Galega de Seguridade Pública ,8,Organismo autónomo administrativo,Q6550011H,A12009367,1100000BV010,INV00000013,Comunidad Autónoma de Galicia,Academia Galega de Seguridade Pública ,2007-01-24T00:00:00,11,Galicia,soporte documental LEY 01/07 de 15.01.07 (DOG nº 16 de 23.01.07),1100000BV010,A12009367,2,Incorporación al SPI,8,Organismo autónomo administrativo,1,Público,1,Función interventora; Control financiero permanente; Auditoría de cuentas,1,Limitativo,2,S.1312 Administraciones Públicas: Administración Regional,,,"Avda. da Cultura, s/n                                                                             ",A Estrada                                                                                                                                                                                                                                                 ,36,Pontevedra,36680,986590021,agasp.xunta.es                                                                                                                                                                                                                                            ,agasp@xunta.es                                                                                                                                                                                                                                            ,Comunidad Autónoma de Galicia,1100000BB000,100,100,1,Con actividad económica,1,Administrativo ,Enriquecimiento del capital humano e impulso de la calidad en los servicios de seguridad pública,O8424,Orden público y seguridad,,,,,,,,,,Academia Galega de Seguridade Pública,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
