"Unnamed: 0";"C_ID_UD_ORGANICA";"C_DNM_UD_ORGANICA";"C_ID_NIVEL_ADMON";"C_ID_TIPO_ENT_PUBLICA";"N_NIVEL_JERARQUICO";"C_ID_DEP_UD_SUPERIOR";"C_DNM_UD_ORGANICA_SUPERIOR";"C_ID_DEP_UD_PRINCIPAL";"C_DNM_UD_ORGANICA_PRINCIPAL";"B_SW_DEP_EDP_PRINCIPAL";"C_ID_DEP_EDP_PRINCIPAL";"C_DNM_UD_ORGANICA_EDP_PRINCIPAL";"C_ID_ESTADO";"D_VIG_ALTA_OFICIAL";"NIF_CIF";"C_ID_AMB_PROVINCIA";"C_DESC_PROV";"CONTACTOS"
"";"E00003301";"Ministerio de Defensa";1;"MN";1;"EA9999999";"Administracion del Estado";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1959-09-07 00:00:00";"";"";"";""
"";"E00115201";"S.Gral. de Politica de Defensa";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"2001-01-01 00:00:00";"";"";"";""
"";"E00115401";"Secretaria del Ministro";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1986-01-01 00:00:00";"";"";"";""
"";"E00115501";"Gabinete del Ministro";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1986-01-01 00:00:00";"";"";"";""
"";"E00115601";"Gabinete Tecnico del Ministro";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1986-01-01 00:00:00";"";"";"";""
"";"E00115801";"Estado Mayor de la Defensa";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1985-10-01 00:00:00";"";"";"";""
"";"E00116001";"S. de E. de Defensa";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1984-04-17 00:00:00";"";"";"";""
"";"E00116501";"Subsecretaria de Defensa";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1996-02-19 00:00:00";"";"";"";""
"";"E00117001";"Ejercito de Tierra";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1969-01-01 00:00:00";"";"";"";""
"";"E00117101";"Armada";1;"MN";2;"E00003301";"Ministerio de Defensa";"E00003301";"Ministerio de Defensa";"N";"";"";"V";"1969-01-01 00:00:00";"";"";"";""
