"source_names";"target_names";"source_id";"target_id";"source_city";"target_city";"name_score";"id_score";"city_score";"weighted_name_score";"weighted_city_score";"final_score";"source_names_stopwords";"target_names_stopwords"
"universidad de zaragoza";"gedex zaragoza";"Q5018001G";"";"";"";"0.5";"0";"0";"0.46641791";"0.0";"0,6471";"universidad zaragoza";"gedex zaragoza"
"universidad de salamanca";"cursos internacionales de la universidad de salamanca sau";"Q3718001E";"A37208105";"";"";"1.0";"0";"0";"0.93283582";"0.0";"0,6087";"universidad salamanca";"cursos internacionales universidad salamanca sau"
"universidad de salamanca";"escuelas de lengua espanola de la universidad de salamanca sl";"Q3718001E";"B37526704";"";"";"1.0";"0";"0";"0.93283582";"0.0";"0,6000";"universidad salamanca";"escuelas lengua espanola universidad salamanca sl"
"universidad de salamanca";"fundacion general universidad de salamanca";"Q3718001E";"G37338118";"";"";"1.0";"0";"0";"0.93283582";"0.0";"0,7000";"universidad salamanca";"fundacion general universidad salamanca"
"universidad de salamanca";"fundacion de investigacion del cancer universidad de salamanca";"Q3718001E";"G37338126";"";"";"1.0";"0";"0";"0.93283582";"0.0";"0,5753";"universidad salamanca";"fundacion investigacion cancer universidad salamanca"
"universidad de salamanca";"fundacion parque cientifico universidad de salamanca";"Q3718001E";"G37433802";"";"";"1.0";"0";"0";"0.93283582";"0.0";"0,6000";"universidad salamanca";"fundacion parque cientifico universidad salamanca"
"universidad autonoma de barcelona";"fundacio institut de formacio continua de la universitat de barcelona fundacio institut de formacio continua de la universitat de barcelona il3 ub";"Q0818002H";"G64489172";"";"";"0.725";"0";"0";"0.6763059695";"0.0";"0,2632";"universidad autonoma barcelona";"fundacio institut formacio continua universitat barcelona fundacio institut formacio continua universitat barcelona il3 ub"
"universidad de zaragoza";"universidad popular";"Q5018001G";"P0604400B";"";"Badajoz";"0.5";"0";"0";"0.46641791";"0.0";"0,7179";"universidad zaragoza";"universidad popular"
"universidad de zaragoza";"universidad popular";"Q5018001G";"P1003800H";"";"Cáceres";"0.5";"0";"0";"0.46641791";"0.0";"0,7179";"universidad zaragoza";"universidad popular"
"universidad autonoma de barcelona";"consorci universitat internacional menendez pelayo de barcelona";"Q0818002H";"P5800042C";"";"Barcelona";"0.725";"0";"0";"0.6763059695";"0.0";"0,5333";"universidad autonoma barcelona";"consorci universitat internacional menendez pelayo barcelona"
"universidad autonoma de barcelona";"universidad de barcelona";"Q0818002H";"Q0818001J";"";"";"1.0";"0";"0";"0.93283582";"0.0";"0,8235";"universidad autonoma barcelona";"universidad barcelona"
"universidad autonoma de barcelona";"universidad autonoma de barcelona uab";"Q0818002H";"Q0818002H";"";"";"1.0";"0";"0";"0.93283582";"0.0";"0,9375";"universidad autonoma barcelona";"universidad autonoma barcelona uab"
"universidad autonoma de barcelona";"universidad autonoma de madrid";"Q0818002H";"Q2818013A";"";"";"0.0";"0";"0";"0.0";"0.0";"0,8070";"universidad autonoma barcelona";"universidad autonoma madrid"
"universidad de salamanca";"universidad de salamanca";"Q3718001E";"Q3718001E";"";"";"1.0";"0";"0";"0.93283582";"0.0";"1,0000";"universidad salamanca";"universidad salamanca"
"universidad de zaragoza";"universidad de zaragoza";"Q5018001G";"Q5018001G";"";"";"1.0";"0";"0";"0.93283582";"0.0";"1,0000";"universidad zaragoza";"universidad zaragoza"
"universidad autonoma de barcelona";"secretaria autonomica de universidad investigacion y politica linguistica";"Q0818002H";"S0711001H";"";"";"0.725";"0";"0";"0.6763059695";"0.0";"0,3878";"universidad autonoma barcelona";"secretaria autonomica universidad investigacion politica linguistica"
"universidad autonoma de barcelona";"servicio de mayores diversidad funcional y autonomia personal";"Q0818002H";"S3333001J";"";"";"0.7";"0";"0";"0.6529850739999999";"0.0";"0,5349";"universidad autonoma barcelona";"servicio mayores diversidad funcional autonomia personal"
"universidad de salamanca";"ceip salamanca";"Q3718001E";"S3511001D";"";"";"0.5";"0";"0";"0.46641791";"0.0";"0,6286";"universidad salamanca";"ceip salamanca"
"universidad de salamanca";"comandancia de salamanca";"Q3718001E";"S3716003C";"";"";"0.6666666666666666";"0";"0";"0.6218905466666667";"0.0";"0,6190";"universidad salamanca";"comandancia salamanca"
"universidad de zaragoza";"comisaria de distrito de zaragoza centro zaragoza";"Q5018001G";"S5016003E";"";"";"0.6666666666666666";"0";"0";"0.6218905466666667";"0.0";"0,4127";"universidad zaragoza";"comisaria distrito zaragoza centro zaragoza"
