Id_NIVEL_1;Id_NIVEL_0;ID_ENTIDAD_NIVEL_0;ID_ENTIDAD_NIVEL_1;Jerarquia;NIF_COD_NIVEL_0;ACRONIMO_NIVEL_0;NOMBRE_ENTIDAD_NIVEL_0;Nombre_Entidad_Mostrar_NIVEL_0;TIPO_ENTIDAD_N1_1_NIVEL_0;TIPO_ENTIDAD_N2_1_NIVEL_0;DIRECCION_POSTAL_NIVEL_0;COD_POSTAL_NIVEL_0;COD_PROVINCIA_NIVEL_0;PROVINCIA_NIVEL_0;COD_CCAA_NIVEL_0;CCAA_NIVEL_0;ENLACE_WEB_NIVEL_0;SOMMA_NIVEL_0;TIPO_ENTIDAD_REGIONAL_NIVEL_0;ESTADO_x_NIVEL_0;NIF_COD_NIVEL_1;ACRONIMO_NIVEL_1;NOMBRE_ENTIDAD_NIVEL_1;Nombre_Entidad_Mostrar_NIVEL_1;TIPO_ENTIDAD_N1_1_NIVEL_1;TIPO_ENTIDAD_N2_1_NIVEL_1;DIRECCION_POSTAL_NIVEL_1;COD_POSTAL_NIVEL_1;COD_PROVINCIA_NIVEL_1;PROVINCIA_NIVEL_1;COD_CCAA_NIVEL_1;CCAA_NIVEL_1;ENLACE_WEB_NIVEL_1;SOMMA_NIVEL_1;TIPO_ENTIDAD_REGIONAL_NIVEL_1;ESTADO_x_NIVEL_1;Entidad_NIVEL_0;Entidad_Norm_NIVEL_0;CIF_NIVEL_0;Provincia_Entidad_NIVEL_0;Entidad_NIVEL_1;Entidad_Norm_NIVEL_1;CIF_NIVEL_1;Provincia_Entidad_NIVEL_1
584;110;110.0;591.0;Vinculada;G66748880;Barcelona Media Alliance;Barcelona Media Alliance;AEI Barcelona Media Alliance;Clúster/Plataforma;Agrupación Empresarial Innovadora Registrada;Avinguda Diagonal, 177;8018.0;8.0;Barcelona;9.0;Cataluña;http://en.clusteraudiovisual.cat/; ; ;ACTIVO;G66210345;EURECAT;FUNDACIO EURECAT;Fundació Eurecat;Centro tecnológico y de apoyo a la innovación tecnológica;Centro Tecnológico Registrado;Avenida Universitat Autonoma, 23;8005.0;8.0;Barcelona;9.0;Cataluña;http://www.eurecat.org/es; ; ;ACTIVO;AEI Barcelona Media Alliance;aei barcelona media alliance;G66748880;8.0;Fundació Eurecat;fundacio eurecat;G66210345;8.0
1117;110;110.0;1134.0;Vinculada;G66748880;Barcelona Media Alliance;Barcelona Media Alliance;AEI Barcelona Media Alliance;Clúster/Plataforma;Agrupación Empresarial Innovadora Registrada;Avinguda Diagonal, 177;8018.0;8.0;Barcelona;9.0;Cataluña;http://en.clusteraudiovisual.cat/; ; ;ACTIVO;G66079575; ; ;Clúster Audiovisual de Cataluña;Clúster/Plataforma;Clúster;Via Laietana 32-34 4ª planta, Barcelona;80003.0;8.0;Barcelona;9.0;Cataluña;http://es.clusteraudiovisual.cat/; ; ;ACTIVO;AEI Barcelona Media Alliance;aei barcelona media alliance;G66748880;8.0;Clúster Audiovisual de Cataluña;cluster audiovisual de cataluna;G66079575;8.0
587;115;115.0;594.0;Vinculada;G54483268;CEIV;CLUSTER EMPRESAS INNOVADORAS DEL VALLE DEL JUGUETE - AIJU;Clúster Empresas Innovadoras del Valle del Juguete;Clúster/Plataforma;Agrupación Empresarial Innovadora Registrada;Avenida Industria, 23, 03440 Ibi;3440.0;3.0;Alicante/Alacant;10.0;Comunitat Valenciana;http://www.clustervalle.es; ; ;ACTIVO;G03182862;AIJU;ASOCIACION DE INVESTIGACION DE LA INDUSTRIA DEL JUGUETE CONEXAS Y AFINES;Asociación de Investigación de la Industria del Juguete Conexas y Afines;Centro tecnológico y de apoyo a la innovación tecnológica;Centro Tecnológico Registrado;Avenida de La Industria, 23;3440.0;3.0;Alicante/Alacant;10.0;Comunitat Valenciana;http://www.aiju.es; ; ;ACTIVO;Clúster Empresas Innovadoras del Valle del Juguete;cluster empresas innovadoras del valle del juguete;G54483268;3.0;Asociación de Investigación de la Industria del Juguete Conexas y Afines;asociacion de investigacion de la industria del juguete conexas y afines;G03182862;3.0
977;121;121.0;991.0;Vinculada; ;NANOMED;Plataforma Española de Nanomedicina - Nanomed Spain;Plataforma Española de Nanomedicina;Clúster/Plataforma;Plataforma Tecnológica;Baldiri Reixac, 10-12;8028.0;8.0;Barcelona;9.0;Cataluña;http://nanomedspain.net; ; ;ACTIVO;G63971451;IRB BARCELONA;FUNDACIO INSTITUT DE RECERCA BIOMEDICA IRB BARCELONA;Institut de Recerca Biomèdica de Barcelona;Organismo de I+D Regional;Centro/Instituto mixto;Parc Científic De Barcelona, Calle Baldiri Reixac 10;8028.0;8.0;Barcelona;9.0;Cataluña;https://www.irbbarcelona.org/es;Centro Severo Ochoa;CERCA;ACTIVO;Plataforma Española de Nanomedicina;plataforma espanola de nanomedicina; ;8.0;Institut de Recerca Biomèdica de Barcelona;institut de recerca biomedica de barcelona;G63971451;8.0
664;122;122.0;671.0;Vinculada; ;FUTURED;Plataforma Española de Redes Eléctricas - FUTURED;Plataforma Española de Redes Eléctricas;Clúster/Plataforma;Plataforma Tecnológica;Avenida Ranillas, 3 D 1ª planta;50018.0;50.0;Zaragoza;2.0;Aragón;http://www.futured.es; ; ;ACTIVO;G96316476;ITE;INSTITUTO TECNOLOGICO DE LA ENERGIA;Instituto Tecnológico de la Energía;Centro tecnológico y de apoyo a la innovación tecnológica;Centro Tecnológico Registrado;Avenida Juan De La Cierva, 24. Parque Tecnologico;46980.0;46.0;Valencia/València;10.0;Comunitat Valenciana;http://www.ite.es; ; ;ACTIVO;Plataforma Española de Redes Eléctricas;plataforma espanola de redes electricas; ;50.0;Instituto Tecnológico de la Energía;instituto tecnologico de la energia;G96316476;46.0
654;126;126.0;661.0;Vinculada; ;FOTONICA21;Plataforma Tecnológica de Fotónica;Plataforma Tecnológica Fotónica 21;Clúster/Plataforma;Plataforma Tecnológica;Rúa Relva, 27 A, O Porriño;36410.0;36.0;Pontevedra;12.0;Galicia;http://www.fotonica21.org; ; ;ACTIVO;G36871424;CTAG;FUNDACION PARA LA PROMOCION DE LA INN INV Y DES TEC EN LA INDUSTRIA DE AUTOMOCION DE GALICIA;Centro Tecnolóxico da Automoción de Galicia;Centro tecnológico y de apoyo a la innovación tecnológica;Centro Tecnológico Registrado;Rúa A, 249, Polígono Industrial A Granxa;36475.0;36.0;Pontevedra;12.0;Galicia;https://ctag.com/; ; ;ACTIVO;Plataforma Tecnológica Fotónica 21;plataforma tecnologica fotonica 21; ;36.0;Centro Tecnolóxico da Automoción de Galicia;centro tecnoloxico da automocion de galicia;G36871424;36.0
298;135;135.0;300.0;Vinculada; ;LOGISTOP;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad - LOGISTOP;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad;Clúster/Plataforma;Plataforma Tecnológica;Calle Bari, 55, Edificio Nayade, Bloque 5 (PLAZA);50197.0;50.0;Zaragoza;2.0;Aragón;https://www.logistop.org; ; ;ACTIVO;G63009138;CRM;CENTRE DE RECERCA MATEMATICA;Centre de Recerca Matemática;Centro de Investigación;Centro/Instituto propio;Campus UAB Edifici C, Bellaterra;8193.0;8.0;Barcelona;9.0;Cataluña;http://www.crm.cat/; ; ;NO ACTIVO;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad;plataforma tecnologica en logistica integral intermovilidad y movilidad; ;50.0;Centre de Recerca Matemática;centre de recerca matematica;G63009138;8.0
656;135;135.0;663.0;Vinculada; ;LOGISTOP;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad - LOGISTOP;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad;Clúster/Plataforma;Plataforma Tecnológica;Calle Bari, 55, Edificio Nayade, Bloque 5 (PLAZA);50197.0;50.0;Zaragoza;2.0;Aragón;https://www.logistop.org; ; ;ACTIVO;G39492947;CTC;FUNDACION CENTRO TECNOLOGICO DE COMPONENTES;Centro Tecnológico de Componentes;Centro tecnológico y de apoyo a la innovación tecnológica;Centro Tecnológico Registrado;Calle Isabel Torres, 1;39011.0;39.0;Cantabria;6.0;Cantabria;https://centrotecnologicoctc.com; ; ;ACTIVO;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad;plataforma tecnologica en logistica integral intermovilidad y movilidad; ;50.0;Centro Tecnológico de Componentes;centro tecnologico de componentes;G39492947;39.0
666;135;135.0;673.0;Vinculada; ;LOGISTOP;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad - LOGISTOP;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad;Clúster/Plataforma;Plataforma Tecnológica;Calle Bari, 55, Edificio Nayade, Bloque 5 (PLAZA);50197.0;50.0;Zaragoza;2.0;Aragón;https://www.logistop.org; ; ;ACTIVO;G46421988;AINIA;ASOCIACION DE INVESTIGACION DE LA INDUSTRIA AGROALIMENTARIA;Asociación de Investigación de la Industria Agroalimentaria;Centro tecnológico y de apoyo a la innovación tecnológica;Centro Tecnológico Registrado;Calle Benjamin Franklin, 5-11;46980.0;46.0;Valencia/València;10.0;Comunitat Valenciana;https://www.ainia.es/; ; ;ACTIVO;Plataforma Tecnológica en Logística Integral, Intermovilidad y Movilidad;plataforma tecnologica en logistica integral intermovilidad y movilidad; ;50.0;Asociación de Investigación de la Industria Agroalimentaria;asociacion de investigacion de la industria agroalimentaria;G46421988;46.0
3;153;153.0;3.0;Vinculada; ;THINKTUR;Plataforma Tecnológica Española del Sector Turístico - THINKTUR;Plataforma Tecnológica Española del Sector Turístico;Clúster/Plataforma;Plataforma Tecnológica;Calle Orense, 32, Madrid;28020.0;28.0;Madrid;13.0;Madrid, Comunidad de;http://www.thinktur.org; ; ;ACTIVO;G47538525;AVEBIOM;AEI AVEBIOM;AEI AVEBIOM;Clúster/Plataforma;Agrupación Empresarial Innovadora Registrada;Calle Panaderos, 58 entpta.;47004.0;47.0;Valladolid;7.0;Castilla y León;https://www.avebiom.org; ; ;ACTIVO;Plataforma Tecnológica Española del Sector Turístico;plataforma tecnologica espanola del sector turistico; ;28.0;AEI AVEBIOM;aei avebiom;G47538525;47.0
663;156;156.0;670.0;Vinculada; ;PTFOR;Plataforma Tecnológica Forestal Española - PTFE;Plataforma Tecnológica Forestal Española;Clúster/Plataforma;Plataforma Tecnológica;Calle Benjamin Franklin, 13, Parque Tecnológico, Paterna;46980.0;46.0;Valencia/València;10.0;Comunitat Valenciana;http://www.ptfor.es; ; ;ACTIVO;G46261590;AIDIMME;INSTITUTO TECNOLOGICO METALMECANICO MUEBLE MADERA EMBALAJE Y AFINES AIDIMME;Instituto Tecnológico Metalmecánico Mueble, Madera, Embalaje y Afines;Centro tecnológico y de apoyo a la innovación tecnológica;Centro Tecnológico Registrado;Calle Benjamin Franklin, 13. Parque Tecnologico C. Apdo 50;46980.0;46.0;Valencia/València;10.0;Comunitat Valenciana;https://www.aidimme.es; ; ;ACTIVO;Plataforma Tecnológica Forestal Española;plataforma tecnologica forestal espanola; ;46.0;Instituto Tecnológico Metalmecánico Mueble, Madera, Embalaje y Afines;instituto tecnologico metalmecanico mueble madera embalaje y afines;G46261590;46.0
940;157;157.0;954.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ;CNAG-CRG;Plataforma de Secuenciación y Proteómica;Plataforma de Secuenciación y Proteómica;Infraestructura;Infraestructura propia;Carrer Dr. Aiguader, 88;8003.0;8.0;Barcelona;9.0;Cataluña;https://www.omicstech.es/areas/proteomics; ; ;ACTIVO;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Plataforma de Secuenciación y Proteómica;plataforma de secuenciacion y proteomica; ;8.0
1010;157;157.0;1024.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO;S0800099D;BSC-CNS;CONSORCIO BARCELONA SUPERCOMPUTING CENTER - CENTRO NACIONAL DE SUPERCOMPUTACION BSC - CNS;Consorcio Barcelona Supercomputing Center - Centro Nacional de Supercomputación;Organismo público de I+D Estatal;Centro nacional de I+D;Carrer Jordi Girona, 31, Torre Girona;8034.0;8.0;Barcelona;9.0;Cataluña;https://www.bsc.es/es;Centro Severo Ochoa; ;ACTIVO;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Consorcio Barcelona Supercomputing Center - Centro Nacional de Supercomputación;consorcio barcelona supercomputing center centro nacional de supercomputacion;S0800099D;8.0
1702;157;157.0;1751.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ; ; ;Evolutionary Genomics Lab;Infraestructura;Infraestructura propia;Carrer del Dr. Aiguader, 88;8003.0;8.0;Barcelona;9.0;Cataluña;https://www.upf.edu/web/evolutionary-genomics-lab; ; ;ACTIVO;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Evolutionary Genomics Lab;evolutionary genomics lab; ;8.0
2014;157;157.0;2065.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ;GRIB;RESEARCH PROGRAMME ON BIOMEDICAL INFORMATICS;Research Programme on Biomedical Informatics;Unidad/Grupo de Investigación;Grupo Investigación mixto;Dr. Aiguader, 88;8003.0;8.0;Barcelona;9.0;Cataluña;http://grib.imim.es/; ; ;ACTIVO;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Research Programme on Biomedical Informatics;research programme on biomedical informatics; ;8.0
2015;157;157.0;2066.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ; ;BIOINFORMATICS UNIT;Bioinformatics Unit;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ; ; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Bioinformatics Unit;bioinformatics unit; ;
2016;157;157.0;2067.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ;BIOCOMPUTINGUNIT;BIOCOMPUTING UNIT;Biocomputing Unit;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ;http://biocomputingunit.es/staff/; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Biocomputing Unit;biocomputing unit; ;
2017;157;157.0;2068.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ;BBGLAB;BIOMEDICAL GENOMICS GROUP;Biomedical Genomics Group;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ; ; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Biomedical Genomics Group;biomedical genomics group; ;
2018;157;157.0;2069.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ; ;STRUCTURAL BIOINFORMATICS & NETWORK BIOLOGY LAB;Structural Bioinformatics & Network Biology Lab;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ; ; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Structural Bioinformatics & Network Biology Lab;structural bioinformatics network biology lab; ;
2019;157;157.0;2070.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ;MMB;MOLECULAR MODELING AND BIOINFORMATICS;Molecular Modeling and Bioinformatics;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ; ; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Molecular Modeling and Bioinformatics;molecular modeling and bioinformatics; ;
2020;157;157.0;2071.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ; ;BIOINFORMATICS AREA;Bioinformatics Area;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ; ; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Bioinformatics Area;bioinformatics area; ;
2021;157;157.0;2072.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ;BITLAB;BIOINFOMATICS AND INFORMATION TECHNOLOGIES LABORATORY GROUP;Bioinfomatics and Information Technologies Laboratory Group;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ;https://chirimoyo.ac.uma.es/publications/bitlab-congress-contribution/; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Bioinfomatics and Information Technologies Laboratory Group;bioinfomatics and information technologies laboratory group; ;
2022;157;157.0;2073.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ;CGENOMICS;COMPARATIVE GENOMICS;Comparative Genomics;Unidad/Grupo de Investigación;Grupo Investigación mixto; ;;; ;; ;http://cgenomics.org; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Comparative Genomics;comparative genomics; ;
2023;157;157.0;2074.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ; ;BIOINFORMATICS ANALYSIS UNIT;Bioinformatics Analysis Unit;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ; ; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Bioinformatics Analysis Unit;bioinformatics analysis unit; ;
2024;157;157.0;2075.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ; ;BIOINFORMATICS AND FUNCTIONAL GENOMICS GROUP;Bioinformatics and Functional Genomics Group;Unidad/Grupo de Investigación;Grupo Investigación mixto; ;;; ;; ; ; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Bioinformatics and Functional Genomics Group;bioinformatics and functional genomics group; ;
2025;157;157.0;2076.0;Nodos_ciber; ;INB ISCIII;INSTITUTO NACIONAL DE BIOINFORMATICA INB;Instituto Nacional de Bioinformática;Organismo público de I+D Estatal;Centro de investigación en red;Carrer Jordi Girona, 29, Barcelona;8034.0;8.0;Barcelona;9.0;Cataluña;http://www.inb-elixir.es; ; ;ACTIVO; ; ;GENOMICS OF GENE EXPRESSION;Genomics of Gene Expression;Unidad/Grupo de Investigación;Grupo Investigación propio; ;;; ;; ; ; ; ; ;Instituto Nacional de Bioinformática;instituto nacional de bioinformatica; ;8.0;Genomics of Gene Expression;genomics of gene expression; ;
