Id_NIVEL_1,Id_NIVEL_0,ID_ENTIDAD_NIVEL_0,ID_ENTIDAD_NIVEL_1,Jerarquia,NIF_COD_NIVEL_0,ACRONIMO_NIVEL_0,NOMBRE_ENTIDAD_NIVEL_0,Nombre_Entidad_Mostrar_NIVEL_0,TIPO_ENTIDAD_N1_1_NIVEL_0,TIPO_ENTIDAD_N2_1_NIVEL_0,DIRECCION_POSTAL_NIVEL_0,COD_POSTAL_NIVEL_0,COD_PROVINCIA_NIVEL_0,PROVINCIA_NIVEL_0,COD_CCAA_NIVEL_0,CCAA_NIVEL_0,ENLACE_WEB_NIVEL_0,SOMMA_NIVEL_0,TIPO_ENTIDAD_REGIONAL_NIVEL_0,ESTADO_x_NIVEL_0,NIF_COD_NIVEL_1,ACRONIMO_NIVEL_1,NOMBRE_ENTIDAD_NIVEL_1,Nombre_Entidad_Mostrar_NIVEL_1,TIPO_ENTIDAD_N1_1_NIVEL_1,TIPO_ENTIDAD_N2_1_NIVEL_1,DIRECCION_POSTAL_NIVEL_1,COD_POSTAL_NIVEL_1,COD_PROVINCIA_NIVEL_1,PROVINCIA_NIVEL_1,COD_CCAA_NIVEL_1,CCAA_NIVEL_1,ENLACE_WEB_NIVEL_1,SOMMA_NIVEL_1,TIPO_ENTIDAD_REGIONAL_NIVEL_1,ESTADO_x_NIVEL_1
8194,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,,,,,,,,,,,,,
8195,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,,,,,,,,,,,,,
8196,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,,,,,,,,,,,,,
8197,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,,,,,,,,,,,,,
8198,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,,,,,,,,,,,,,
8199,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,,,,,,,,,,,,,
8200,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,,,,,,,,,,,,,
8201,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,,,,,,,,,,,,,
8202,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,INSTITUTO DE LA GRASA (IG),,,,,,,,,,,,,
8203,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,INSTITUTO DE LA GRASA (IG),,,,,,,,,,,,,
8204,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,INSTITUTO DE LA GRASA (IG),,,,,,,,,,,,,
8205,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,INSTITUTO DE LA GRASA (IG),,,,,,,,,,,,,
8206,237,,,Orgánica Directa,,,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),,,,,,,,,,,,,,,,INSTITUTO DE LA GRASA (IG),,,,,,,,,,,,,
