Id,Entidad,Origen_Solicitud,Identificadores_Origen,Entidad_Norm,CIF,CIF_validacion,Centro,Centro_Norm,Tipo,Provincia_Entidad,Pais_Entidad,Provincia_Centro,PIC,Tipo_Persona,Entidad_Match,Provincia_Match,Match,Final_Score,Id_Centro,Centro_Nombre_match,Centro_Provincia_match,Similitud_Centro
8194,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,600487,dpto biodiversidad y conservacion,,1,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,dpto biodiversidad y conservacion,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.2857143,8194,CENTRO DE ASTROBIOLOGIA,28.0,0.2857143
8195,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,600487,dpto biodiversidad y conservacion,,1,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,dpto biodiversidad y conservacion,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.32,8195,INSTITUTO DE BIOLOGIA FUNCIONAL Y GENOMICA,37.0,0.32
8196,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,600487,dpto biodiversidad y conservacion,,1,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,dpto biodiversidad y conservacion,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.16216215,8196,None,2.0,0.16216215
8197,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,600487,dpto biodiversidad y conservacion,,1,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,dpto biodiversidad y conservacion,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.14084508,8197,Oficina de proyectos del IGME Zaragoza,50.0,0.14084508
8198,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,600487,dpto biodiversidad y conservacion,,1,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,dpto biodiversidad y conservacion,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.29090908,8198,INSTITUTO DE FILOSOFIA,28.0,0.29090908
8199,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,600487,dpto biodiversidad y conservacion,,1,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,dpto biodiversidad y conservacion,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.3529412,8199,INSTITUTO DE ANALISIS ECONOMICO (IAE),8.0,0.3529412
8200,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,600487,dpto biodiversidad y conservacion,,1,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,dpto biodiversidad y conservacion,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.27586207,8200,INSTITUTO DE DIAGNOSTICO AMBIENTAL Y ESTUDIOS DEL AGUA,8.0,0.27586207
8201,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,600487,dpto biodiversidad y conservacion,,1,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,dpto biodiversidad y conservacion,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.22222222,8201,CONSORCI CENTRE DE RECERCA ECOLOGICA I APLICACIONS FORESTALS CREAF,8.0,0.22222222
8202,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,288666,instituto de la grasa ig,,1,INSTITUTO DE LA GRASA (IG),instituto de la grasa ig,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.4680851,8202,CENTRO DE ASTROBIOLOGIA,28.0,0.4680851
8203,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ACT_NAC,288666,instituto de la grasa ig,,1,INSTITUTO DE LA GRASA (IG),instituto de la grasa ig,20501,,"724,0000",,,,consejo superior de investigaciones cientificas csic,28,NIF MCIN,0.54545456,8203,INSTITUTO DE BIOLOGIA FUNCIONAL Y GENOMICA,37.0,0.54545456
