Id_NIVEL_1,Id_NIVEL_0,ID_ENTIDAD_NIVEL_0,ID_ENTIDAD_NIVEL_1,Jerarquia,NIF_COD_NIVEL_0,ACRONIMO_NIVEL_0,NOMBRE_ENTIDAD_NIVEL_0,Nombre_Entidad_Mostrar_NIVEL_0,TIPO_ENTIDAD_N1_1_NIVEL_0,TIPO_ENTIDAD_N2_1_NIVEL_0,DIRECCION_POSTAL_NIVEL_0,COD_POSTAL_NIVEL_0,COD_PROVINCIA_NIVEL_0,PROVINCIA_NIVEL_0,COD_CCAA_NIVEL_0,CCAA_NIVEL_0,ENLACE_WEB_NIVEL_0,SOMMA_NIVEL_0,TIPO_ENTIDAD_REGIONAL_NIVEL_0,ESTADO_x_NIVEL_0,NIF_COD_NIVEL_1,ACRONIMO_NIVEL_1,NOMBRE_ENTIDAD_NIVEL_1,Nombre_Entidad_Mostrar_NIVEL_1,TIPO_ENTIDAD_N1_1_NIVEL_1,TIPO_ENTIDAD_N2_1_NIVEL_1,DIRECCION_POSTAL_NIVEL_1,COD_POSTAL_NIVEL_1,COD_PROVINCIA_NIVEL_1,PROVINCIA_NIVEL_1,COD_CCAA_NIVEL_1,CCAA_NIVEL_1,ENLACE_WEB_NIVEL_1,SOMMA_NIVEL_1,TIPO_ENTIDAD_REGIONAL_NIVEL_1,ESTADO_x_NIVEL_1
8208,8194,888,1145,Orgánica Directa,,UNIZAR,Universidad de Zaragoza,Universidad de Zaragoza,Universidad,Universidad Pública,"Calle de Pedro Cerbuna, 12",50009,,Zaragoza,2.0,Aragón,https://www.unizar.es/,None,None,ACTIVO,None,IPH,77,Instituto Universitario de Investigación en Patrimonio y Humanidades,Centro de Investigación,Centro/Instituto propio,"Calle Pedro Cerbuna, 12",50009,,Zaragoza,2.0,Aragón,https://iphunizar.com/,None,None,ACTIVO
8216,8195,840,1568,Orgánica Directa,,UAH,UNIVERSIDAD DE ALCALA,Universidad de Alcalá,Universidad,Universidad Pública,"Plaza de San Diego, s/n, Alcalá de Henares",28801,,Madrid,13.0,"Madrid, Comunidad de",https://www.uah.es/es/,None,None,ACTIVO,None,None,CENTRO DE ALTA TECNOLOGIA Y HOMOLOGACION -CATECHOM-,Centro de Química Aplicada y Biotecnología,Centro de Investigación,Centro/Instituto Propio,"Carretera N-II, km 33,6",28871,,Madrid,13.0,"Madrid, Comunidad de",https://www.uah.es/es/investigacion/unidades-de-investigacion/centros-de-apoyo-a-la-investigacion/Centro-de-Quimica-Aplicada-y-Biotecnologia/,None,None,ACTIVO
8226,8196,851,1589,Orgánica Directa,,UCM,UNIVERSIDAD COMPLUTENSE DE MADRID,Universidad Complutense de Madrid,Universidad,Universidad Pública,"Avenida Séneca, 2",28040,,Madrid,13.0,"Madrid, Comunidad de",https://www.ucm.es/,None,None,ACTIVO,None,IDEIR,CENTRO DE ASISTENCIA A LA INVESTIGACIÓN DE RMN Y RSE,Derecho Europeo e Integración Regional,Centro de Investigación,Centro/Instituto Propio,"Ciudad Universitaria, s/n",28040,,Madrid,13.0,"Madrid, Comunidad de",https://www.ucm.es/ideir,None,None,ACTIVO
8217,8197,876,983,Orgánica Directa,,UPM,UNIVERSIDAD POLITECNICA DE MADRID,Universidad Politécnica de Madrid,Universidad,Universidad Pública,"Calle Ramiro de Maeztu, 7",28040,,Madrid,13.0,"Madrid, Comunidad de",https://www.upm.es,None,None,ACTIVO,None,MAGERIT - CeSViMa,CENTRO DE BIOTECNOLOGIA Y GENOMICA DE PLANTAS (CBGP),Supercomputador Magerit en el Centro de Supercomputación y Visualización de Madrid,Infraestructura,Infraestructura propia,"Campus de Montegancedo, Pozuelo de Alarcón",28223,,Madrid,13.0,"Madrid, Comunidad de",https://www.cesvima.upm.es/,None,None,ACTIVO
8195,8198,239,995,Orgánica Directa,,CSIC,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),Consejo Superior de Investigaciónes Científicas (CSIC),Organismo público de I+D Estatal,Organismo público de investigación de la AGE (OPI),"Calle de Serrano, 117",28010,,Madrid,13.0,"Madrid, Comunidad de",https://www.csic.es/,None,None,ACTIVO,Q5850011G,CREAF,CSIC-INSTITUTO DE AGROBIOTECNOLOGIA,Centre de Recerca Ecològica i Aplicacions Forestals,Organismo de I+D Regional,Centro/Instituto mixto,"Campus de la UAB, Cerdanyola del Vallès",08193,,Barcelona,9.0,Cataluña,http://www.creaf.cat/,Centro Severo Ochoa,CERCA,ACTIVO
8200,8199,862,1188,Orgánica Directa,,ULL,UNIVERSIDAD DE LA LAGUNA,Universidad de La Laguna,Universidad,Universidad Pública,"Calle Padre Herrera, s/n, San Cristóbal de La Laguna",38200,,Santa Cruz de Tenerife,5.0,Canarias,https://www.ull.es/,None,None,ACTIVO,None,IUEM,DEPARTAMENTO DE GEOGRAFÍA E HISTORIA,Instituto Universitario de Estudios de las Mujeres,Centro de Investigación,Centro/Instituto propio,"Campus Central ULL, San Cristóbal de La Laguna",38004,,Santa Cruz de Tenerife,5.0,Canarias,https://www.iuem-ull.org/,None,None,ACTIVO
8198,8200,239,995,Orgánica Directa,,CSIC,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),Consejo Superior de Investigaciónes Científicas (CSIC),Organismo público de I+D Estatal,Organismo público de investigación de la AGE (OPI),"Calle de Serrano, 117",28010,,Madrid,13.0,"Madrid, Comunidad de",https://www.csic.es/,None,None,ACTIVO,Q5850011G,CREAF,DPTO. BIODIVERSIDAD Y CONSERVACIÓN,Centre de Recerca Ecològica i Aplicacions Forestals,Organismo de I+D Regional,Centro/Instituto mixto,"Campus de la UAB, Cerdanyola del Vallès",08193,,Barcelona,9.0,Cataluña,http://www.creaf.cat/,Centro Severo Ochoa,CERCA,ACTIVO
8209,8201,884,324,Orgánica Directa,,US,UNIVERSIDAD DE SEVILLA,Universidad de Sevilla,Universidad,Universidad Pública,"Calle San Fernando, 4",41004,,Sevilla,1.0,Andalucía,https://www.us.es/,None,None,ACTIVO,None,CABIMER,DPTO. DE LENGUAJES Y SISTEMAS INFORMATICOS,Centro Andaluz de Biologia Molecular y Medicina Regenerativa,Centro de Investigación,Centro/Instituto mixto,"Avenida Americo Vespucio, s/n, Parque Cientifico Y Tecnológico Cartuja 93",41092,,Sevilla,1.0,Andalucía,http://www.cabimer.es/,None,None,ACTIVO
8231,8202,884,324,Orgánica Directa,,US,UNIVERSIDAD DE SEVILLA,Universidad de Sevilla,Universidad,Universidad Pública,"Calle San Fernando, 4",41004,,Sevilla,1.0,Andalucía,https://www.us.es/,None,None,ACTIVO,None,CABIMER,DPTO. GEOGRAFIA FISICA Y ANALISIS GEOGRAFICO REGIONAL,Centro Andaluz de Biologia Molecular y Medicina Regenerativa,Centro de Investigación,Centro/Instituto mixto,"Avenida Americo Vespucio, s/n, Parque Cientifico Y Tecnológico Cartuja 93",41092,,Sevilla,1.0,Andalucía,http://www.cabimer.es/,None,None,ACTIVO
8211,8203,883,232,Orgánica Directa,,USC,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Universidad de Santiago de Compostela,Universidad,Universidad Pública,"Praza do Obradoiro, 0, Santiago de Compostela",15705,,"Coruña, A",12.0,Galicia,https://www.usc.gal/gl,None,None,ACTIVO,S1500111H,ITMATI,ESCUELA POLITECNICA SUPERIOR. LUGO,Instituto Tecnológico de Matemática Industrial,Organismo de I+D Regional,Centro/Instituto mixto,Campus Vida. Santiago de Compostela,15782,,"Coruña, A",12.0,Galicia,http://www.itmati.com/,None,None,ACTIVO
8228,8204,884,324,Orgánica Directa,,US,Universidad de Sevilla,Universidad de Sevilla,Universidad,Universidad Pública,"Calle San Fernando, 4",41004,,Sevilla,1.0,Andalucía,https://www.us.es/,None,None,ACTIVO,None,CABIMER,Escuela Técnica Superior de Arquitectura,Centro Andaluz de Biologia Molecular y Medicina Regenerativa,Centro de Investigación,Centro/Instituto mixto,"Avenida Americo Vespucio, s/n, Parque Cientifico Y Tecnológico Cartuja 93",41092,,Sevilla,1.0,Andalucía,http://www.cabimer.es/,None,None,ACTIVO
8229,8205,881,1770,Orgánica Directa,,URV,UNIVERSITAT ROVIRA I VIRGILI,Universidad Rovira i Virgili,Universidad,Universidad Pública,"Carrer de l'Escorxador, s/n",43007,,Tarragona,9.0,Cataluña,https://www.urv.cat/es/,None,None,ACTIVO,None,None,ESCUELA TECNICA SUPERIOR DE INGENIERIA,Biobanco Fundación Instituto de Investigación Sanitaria Pere Virgili,Infraestructura,Infraestructura propia,"Avinguda de la Universitat, 1, Reus",43204,,Tarragona,9.0,Cataluña,https://www.iispv.cat/plataforma-de-suport/biobanc-iispv/,None,None,NO ACTIVO
8221,8206,867,2008,Orgánica Directa,,UMA,UNIVERSIDAD DE MÁLAGA,Universidad de Málaga,Universidad,Universidad Pública,"Avenida de Cervantes, 2",29016,,Málaga,1.0,Andalucía,https://www.uma.es/,None,None,ACTIVO,G29817301,FGUM,ESCUELA TECNICA SUPERIOR DE INGENIERIA INFORMATICA,Fundación General de La Universidad de Malaga,"Entidad de Gestión, Promoción y Fomento de la I+D",De universidad,None,29017,,Málaga,1.0,Andalucía,None,None,None,ACTIVO
8206,8207,876,983,Orgánica Directa,,UPM,UNIVERSIDAD POLITECNICA DE MADRID,Universidad Politécnica de Madrid,Universidad,Universidad Pública,"Calle Ramiro de Maeztu, 7",28040,,Madrid,13.0,"Madrid, Comunidad de",https://www.upm.es,None,None,ACTIVO,None,MAGERIT - CeSViMa,ESCUELA TECNICA SUPERIOR DE INGENIEROS DE MONTES,Supercomputador Magerit en el Centro de Supercomputación y Visualización de Madrid,Infraestructura,Infraestructura propia,"Campus de Montegancedo, Pozuelo de Alarcón",28223,,Madrid,13.0,"Madrid, Comunidad de",https://www.cesvima.upm.es/,None,None,ACTIVO
8196,8208,887,655,Orgánica Directa,,UVigo,UNIVERSIDAD DE VIGO,Universidad de Vigo,Universidad,Universidad Pública,"Circunvalación ao Campus Universitario, Vigo",36310,,Pontevedra,12.0,Galicia,https://www.uvigo.gal/,None,None,ACTIVO,G36885853,CETMAR,ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES,Centro Tecnológico del Mar,Centro tecnológico y de apoyo a la innovación tecnológica,Otros centros tecnológicos y de apoyo a la innovación tecnológica,"Rúa De Eduardo Cabello, s/n,",36208,,Pontevedra,12.0,Galicia,https://cetmar.org,None,None,ACTIVO
8212,8209,884,324,Orgánica Directa,,US,Universidad de Sevilla,Universidad de Sevilla,Universidad,Universidad Pública,"Calle San Fernando, 4",41004,,Sevilla,1.0,Andalucía,https://www.us.es/,None,None,ACTIVO,None,CABIMER,Facultad de Biología,Centro Andaluz de Biologia Molecular y Medicina Regenerativa,Centro de Investigación,Centro/Instituto mixto,"Avenida Americo Vespucio, s/n, Parque Cientifico Y Tecnológico Cartuja 93",41092,,Sevilla,1.0,Andalucía,http://www.cabimer.es/,None,None,ACTIVO
8227,8210,843,1633,Orgánica Directa,,UAB,UNIVERSIDAD AUTONOMA DE BARCELONA,Universidad Autónoma de Barcelona,Universidad,Universidad Pública,"Plaça Cívica, Campus de la UAB, Bellaterra",08193,,Barcelona,9.0,Cataluña,https://www.uab.cat/es/,None,None,ACTIVO,None,FSIE,FACULTAD DE CIENCIAS,Fundació Salut i Envelliment,Organismo de I+D Regional,Centro/Instituto Mixto,"Carrer Sant Antoni Maria Claret, Nº 171",8041,,Barcelona,9.0,Cataluña,https://www.uab.cat/web/fundacio-salut-i-envelliment-1345754058073.html,None,None,ACTIVO
8230,8211,887,655,Orgánica Directa,,UVigo,Universidad de Vigo,Universidad de Vigo,Universidad,Universidad Pública,"Circunvalación ao Campus Universitario, Vigo",36310,,Pontevedra,12.0,Galicia,https://www.uvigo.gal/,None,None,ACTIVO,G36885853,CETMAR,Facultad de Ciencias Jurídicas y del Tra,Centro Tecnológico del Mar,Centro tecnológico y de apoyo a la innovación tecnológica,Otros centros tecnológicos y de apoyo a la innovación tecnológica,"Rúa De Eduardo Cabello, s/n,",36208,,Pontevedra,12.0,Galicia,https://cetmar.org,None,None,ACTIVO
8202,8212,871,1077,Orgánica Directa,,UNIOVI,Universidad de Oviedo,Universidad de Oviedo,Universidad,Universidad Pública,"Calle San Francisco, 3, Oviedo",33003,,Asturias,3.0,"Asturias, Principado de",https://www.uniovi.es/,None,None,ACTIVO,None,IUTA,Facultad de Economía y Empresa,Instituto Universitario de Tecnología Industrial de Asturias,Centro de Investigación,Centro/Instituto propio,Campus Universitario de Gijón,33203,,Asturias,3.0,"Asturias, Principado de",http://www.iuta.uniovi.es/web/,None,None,ACTIVO
8199,8213,852,574,Orgánica Directa,,UCO,UNIVERSIDAD DE CÓRDOBA,Universidad de Córdoba,Universidad,Universidad Pública,"Avenida de Medina Azahara, 5",14071,,Córdoba,1.0,Andalucía,http://www.uco.es/,None,None,ACTIVO,None,IAQFN,Facultad de Filosofía y Letras,Instituto Andaluz de Química Fina y Nanoquímica,Centro de Investigación,Centro/Instituto propio,Campus De Rabanales. Univ. De Córdoba,14071,,Córdoba,1.0,Andalucía,http://www.uco.es/iunan/index.php,None,None,ACTIVO
8219,8214,881,1770,Orgánica Directa,,URV,UNIVERSITAT ROVIRA I VIRGILI,Universidad Rovira i Virgili,Universidad,Universidad Pública,"Carrer de l'Escorxador, s/n",43007,,Tarragona,9.0,Cataluña,https://www.urv.cat/es/,None,None,ACTIVO,None,None,FACULTAD DE LETRAS,Biobanco Fundación Instituto de Investigación Sanitaria Pere Virgili,Infraestructura,Infraestructura propia,"Avinguda de la Universitat, 1, Reus",43204,,Tarragona,9.0,Cataluña,https://www.iispv.cat/plataforma-de-suport/biobanc-iispv/,None,None,NO ACTIVO
8204,8215,888,1145,Orgánica Directa,,UNIZAR,Universidad de Zaragoza,Universidad de Zaragoza,Universidad,Universidad Pública,"Calle de Pedro Cerbuna, 12",50009,,Zaragoza,2.0,Aragón,https://www.unizar.es/,None,None,ACTIVO,None,IPH,Facultad de Medicina,Instituto Universitario de Investigación en Patrimonio y Humanidades,Centro de Investigación,Centro/Instituto propio,"Calle Pedro Cerbuna, 12",50009,,Zaragoza,2.0,Aragón,https://iphunizar.com/,None,None,ACTIVO
8222,8216,873,207,Orgánica Directa,,UPV/EHU,UNIVERSIDAD DEL PAIS VASCO EUSKAL HERRIKO UNIBERTSITATEA,Universidad del País Vasco - Euskal Herriko Unibertsitatea,Universidad,Universidad Pública,"Barrio Sarriena, s/n, Leioa",48940,,Bizkaia,16.0,País Vasco,https://www.ehu.eus/es/,None,None,ACTIVO,G75067454,POLYMAT,FACULTAD DE MEDICINA Y ODONTOLOGIA,Basque Center for Macromolecular Design and Engineering,Organismo de I+D Regional,Centro/Instituto mixto,"Centro Joxe Mari Korta Center, Tolosa Avenue, 72, San Sebastián",20018,,Gipuzkoa,16.0,País Vasco,http://www.polymat.eu/,None,BERC,ACTIVO
